,feature,group
267,cc_CL.MG_2.5,nn350
268,cc_CL.N_2.5,nn350
269,cc_CL.OA_2.5,nn350
270,cc_CL.ZN_2.5,nn350
271,cc_F.HD_2.5,nn350
272,cc_F.N_2.5,nn350
273,cc_F.OA_2.5,nn350
274,cc_F.SA_2.5,nn350
275,cc_F.ZN_2.5,nn350
276,cc_FE.HD_2.5,nn350
277,cc_FE.N_2.5,nn350
278,cc_FE.OA_2.5,nn350
279,cc_HD.HD_2.5,nn350
280,cc_HD.I_2.5,nn350
281,cc_HD.MG_2.5,nn350
282,cc_HD.MN_2.5,nn350
283,cc_HD.N_2.5,nn350
284,cc_HD.NA_2.5,nn350
285,cc_HD.OA_2.5,nn350
286,cc_HD.P_2.5,nn350
287,cc_HD.S_2.5,nn350
288,cc_HD.SA_2.5,nn350
289,cc_HD.ZN_2.5,nn350
290,cc_MG.NA_2.5,nn350
291,cc_MG.OA_2.5,nn350
292,cc_MN.N_2.5,nn350
293,cc_MN.OA_2.5,nn350
294,cc_N.N_2.5,nn350
295,cc_N.NA_2.5,nn350
296,cc_N.OA_2.5,nn350
297,cc_N.SA_2.5,nn350
298,cc_N.ZN_2.5,nn350
299,cc_NA.OA_2.5,nn350
300,cc_NA.SA_2.5,nn350
301,cc_NA.ZN_2.5,nn350
302,cc_OA.OA_2.5,nn350
303,cc_OA.SA_2.5,nn350
304,cc_OA.ZN_2.5,nn350
305,cc_S.ZN_2.5,nn350
306,cc_SA.ZN_2.5,nn350
307,hb_4_mol_backbone_alpha,nn350
308,hb_4_mol_backbone_beta,nn350
309,hb_4_mol_backbone_other,nn350
310,hb_4_mol_sidechain_alpha,nn350
311,hb_4_mol_sidechain_beta,nn350
312,hb_4_mol_sidechain_other,nn350
313,hb_4_rec_backbone_alpha,nn350
314,hb_4_rec_backbone_beta,nn350
315,hb_4_rec_backbone_other,nn350
316,hb_4_rec_sidechain_alpha,nn350
317,hb_4_rec_sidechain_beta,nn350
318,hb_4_rec_sidechain_other,nn350
319,hyd_4_backbone_alpha,nn350
320,hyd_4_backbone_beta,nn350
321,hyd_4_backbone_other,nn350
322,hyd_4_sidechain_alpha,nn350
323,hyd_4_sidechain_beta,nn350
324,hyd_4_sidechain_other,nn350
325,hyd_4_all,nn350
326,pi_stack_7.5_alpha,nn350
327,pi_stack_7.5_beta,nn350
328,pi_stack_7.5_other,nn350
329,pi_t_7.5_alpha,nn350
330,pi_t_7.5_beta,nn350
331,pi_t_7.5_other,nn350
332,pi_cat_mol_6_alpha,nn350
333,pi_cat_mol_6_beta,nn350
334,pi_cat_mol_6_other,nn350
335,pi_cat_rec_6_alpha,nn350
336,pi_cat_rec_6_beta,nn350
337,pi_cat_rec_6_other,nn350
338,as_flex_backbone_alpha,nn350
339,as_flex_backbone_beta,nn350
340,as_flex_backbone_other,nn350
341,as_flex_sidechain_alpha,nn350
342,as_flex_sidechain_beta,nn350
343,as_flex_sidechain_other,nn350
344,as_flex_all,nn350
345,salt_bridge_5.5_alpha,nn350
346,salt_bridge_5.5_beta,nn350
347,salt_bridge_5.5_other,nn350
348,salt_bridge_5.5_all,nn350
349,num_rotors,nn350
